Date,Open,High,Low,Close,Adj Close,Volume
2022-02-10,806.849976,818.400024,804.000000,806.549988,784.244263,30138
2022-02-11,796.000000,806.000000,766.750000,778.700012,757.164490,15246
2022-02-14,735.250000,765.950012,735.250000,750.700012,729.938843,19974
2022-02-15,737.000000,786.000000,737.000000,777.650024,756.143616,14128
2022-02-16,802.000000,802.000000,775.849976,781.250000,759.643982,8172
2022-02-17,789.950012,793.450012,769.500000,775.099976,753.664063,8158
2022-02-18,768.650024,770.000000,756.000000,760.099976,739.078857,5797
2022-02-21,755.000000,755.049988,725.000000,739.049988,718.611023,13925
2022-02-22,725.000000,733.549988,702.400024,723.849976,703.831421,16621
2022-02-23,738.900024,738.900024,717.000000,728.150024,708.012512,8973
2022-02-24,706.000000,713.000000,689.799988,695.549988,676.314087,8817
2022-02-25,705.450012,746.000000,705.450012,738.700012,718.270752,11892
2022-02-28,732.000000,737.500000,719.650024,734.150024,713.846619,4336
2022-03-02,732.000000,739.700012,729.200012,734.150024,713.846619,3896
2022-03-03,741.450012,762.000000,738.400024,756.000000,735.092285,7114
2022-03-04,768.849976,768.849976,741.650024,753.799988,732.953125,5625
2022-03-07,750.000000,763.000000,730.500000,746.500000,725.855042,7539
2022-03-08,753.000000,758.200012,738.950012,756.200012,735.286804,51624
2022-03-09,754.950012,782.650024,754.950012,772.500000,751.135986,8317
2022-03-10,778.599976,791.500000,768.299988,781.599976,759.984314,12577
2022-03-11,785.000000,785.000000,751.150024,755.500000,734.606140,10446
2022-03-14,755.000000,769.450012,752.200012,760.650024,739.613770,8716
2022-03-15,760.650024,768.549988,742.900024,750.099976,729.355408,3632
2022-03-16,754.950012,764.950012,751.099976,756.599976,735.675720,6076
2022-03-17,766.000000,782.849976,765.500000,775.799988,754.344666,4439
2022-03-21,789.950012,818.900024,775.150024,779.250000,757.699341,21525
2022-03-22,794.799988,794.799988,766.000000,774.099976,752.691711,9050
2022-03-23,778.700012,795.099976,778.700012,785.950012,764.214050,13477
2022-03-24,775.500000,789.900024,768.200012,775.700012,754.247437,14240
2022-03-25,778.349976,783.900024,761.299988,766.849976,745.642212,6686
2022-03-28,762.000000,775.599976,756.400024,759.650024,738.641418,3102
2022-03-29,765.000000,767.500000,750.000000,753.549988,732.710022,7565
2022-03-30,762.049988,764.000000,733.200012,740.700012,720.215393,5939
2022-03-31,744.049988,757.000000,735.599976,740.000000,719.534729,12608
2022-04-01,732.599976,764.400024,732.599976,751.650024,730.862671,13499
2022-04-04,751.650024,776.250000,751.650024,766.200012,745.010254,9388
2022-04-05,772.799988,785.200012,771.000000,775.200012,753.761353,10363
2022-04-06,766.049988,791.000000,766.049988,786.250000,764.505737,10793
2022-04-07,791.000000,791.000000,781.500000,786.650024,764.894714,9065
2022-04-08,790.000000,803.000000,780.000000,800.049988,777.924011,12894
2022-04-11,812.400024,827.000000,803.900024,810.000000,787.598938,17105
2022-04-12,821.200012,822.099976,790.750000,799.049988,776.951660,6589
2022-04-13,816.950012,816.950012,791.000000,799.549988,777.437866,6709
2022-04-18,786.000000,794.200012,782.799988,788.299988,766.499023,7368
2022-04-19,789.000000,802.000000,775.000000,783.650024,761.977661,4567
2022-04-20,778.000000,802.799988,778.000000,795.599976,773.597107,6201
2022-04-21,817.000000,817.000000,788.450012,793.450012,771.506592,4453
2022-04-22,786.000000,793.000000,783.549988,784.900024,763.193054,5499
2022-04-25,776.750000,778.000000,753.599976,762.450012,741.363892,3988
2022-04-26,762.450012,764.549988,741.400024,747.549988,726.875977,11371
2022-04-27,745.000000,767.849976,737.400024,758.849976,737.863464,6294
2022-04-28,774.049988,774.049988,745.299988,749.250000,728.528992,5358
2022-04-29,760.200012,769.900024,740.049988,754.049988,733.196167,4433
2022-05-02,720.049988,746.500000,718.049988,741.349976,720.847412,12401
2022-05-04,745.000000,745.049988,704.250000,716.299988,696.490234,6633
2022-05-05,701.049988,706.000000,671.049988,675.750000,657.061646,34676
2022-05-06,670.000000,670.000000,635.250000,645.349976,627.502380,10260
2022-05-09,658.599976,665.500000,627.250000,655.500000,637.371704,8880
2022-05-10,660.000000,679.500000,627.900024,633.750000,616.223206,8232
2022-05-11,646.000000,648.299988,629.849976,639.799988,622.105896,45888
2022-05-12,635.000000,678.000000,613.049988,662.450012,644.129517,17879
2022-05-13,671.950012,675.000000,646.750000,655.849976,637.711975,11310
2022-05-16,664.000000,664.000000,651.849976,657.950012,639.753906,6188
2022-05-17,659.000000,669.250000,645.500000,665.799988,647.386841,3518
2022-05-18,665.750000,677.099976,656.700012,668.349976,649.866272,11637
2022-05-19,668.950012,688.000000,651.349976,671.049988,652.491638,10288
2022-05-20,685.000000,687.950012,668.000000,673.900024,655.262878,4471
2022-05-23,673.900024,684.250000,658.450012,662.000000,643.691895,5314
2022-05-24,662.549988,677.049988,653.450012,659.450012,641.212463,3198
2022-05-25,671.900024,671.900024,639.599976,644.349976,626.530029,6328
2022-05-26,645.400024,654.349976,632.799988,647.349976,629.447021,8862
2022-05-27,654.099976,702.000000,654.000000,680.250000,661.437256,12006
2022-05-30,680.200012,702.049988,680.200012,684.549988,665.618286,5729
2022-05-31,693.900024,698.000000,680.150024,684.799988,665.861389,3742
2022-06-01,689.900024,694.650024,670.400024,675.650024,656.964417,4482
2022-06-02,675.000000,699.000000,670.000000,689.700012,670.625854,9962
2022-06-03,695.150024,720.349976,690.900024,695.250000,676.022400,17891
2022-06-06,700.000000,703.950012,677.500000,700.750000,681.370239,4762
2022-06-07,698.000000,708.549988,682.099976,699.500000,680.154846,42026
2022-06-08,701.750000,707.049988,688.000000,693.849976,674.661072,17523
2022-06-09,688.000000,697.150024,671.200012,685.650024,666.687866,12746
2022-06-10,686.000000,697.000000,677.500000,692.500000,673.348450,29444
2022-06-13,696.000000,696.000000,668.000000,671.599976,653.026428,5560
2022-06-14,679.950012,692.349976,670.099976,684.750000,665.812744,14253
2022-06-15,680.000000,693.150024,673.349976,687.849976,678.487854,3959
2022-06-16,690.000000,693.549988,644.849976,655.900024,646.972778,4423
2022-06-17,645.599976,664.849976,637.750000,660.150024,651.164917,9253
2022-06-20,671.000000,671.000000,610.000000,619.849976,611.413391,11534
2022-06-21,625.400024,664.450012,625.400024,645.049988,636.270386,5033
2022-06-22,647.450012,658.849976,631.000000,639.650024,630.943909,3784
2022-06-23,639.000000,660.000000,629.250000,656.500000,647.564575,5490
2022-06-24,660.000000,678.500000,660.000000,669.299988,660.190308,6850
2022-06-27,678.950012,704.900024,678.950012,686.299988,676.958923,10919
2022-06-28,682.000000,691.849976,678.500000,681.599976,672.322937,3159
2022-06-29,672.000000,690.000000,671.950012,679.650024,670.399475,5800
2022-06-30,681.099976,687.150024,668.000000,668.950012,659.845093,2596
2022-07-01,668.599976,670.849976,659.650024,661.950012,652.940369,3766
2022-07-04,664.250000,667.700012,655.049988,659.250000,650.277161,6027
2022-07-05,660.000000,684.750000,660.000000,674.200012,665.023682,6202
2022-07-06,686.000000,686.000000,670.000000,680.250000,670.991333,4339
2022-07-07,686.150024,692.000000,682.750000,688.950012,679.572876,3755
2022-07-08,688.299988,692.000000,683.599976,687.500000,678.142639,2551
2022-07-11,680.000000,683.000000,661.049988,668.150024,659.056030,4014
2022-07-12,662.000000,679.000000,662.000000,668.000000,658.908020,6253
2022-07-13,678.000000,678.000000,661.549988,663.700012,654.666565,2735
2022-07-14,670.349976,670.349976,661.200012,664.599976,655.554321,1266
2022-07-15,667.599976,670.150024,654.900024,658.849976,649.882568,2584
2022-07-18,662.799988,667.099976,659.150024,661.799988,652.792419,3392
2022-07-19,660.299988,674.000000,659.750000,669.549988,660.436951,4602
2022-07-20,675.349976,690.950012,674.099976,681.700012,672.421570,8331
2022-07-21,734.000000,750.250000,711.549988,714.750000,705.021729,65203
2022-07-22,734.000000,734.000000,714.000000,720.150024,710.348267,13458
2022-07-25,729.000000,754.900024,724.500000,746.250000,736.093018,33743
2022-07-26,752.000000,755.900024,683.000000,691.500000,682.088196,28499
2022-07-27,683.400024,707.950012,683.400024,701.200012,691.656189,24407
